building_id,income,annual_kwh,pre_fixed_bill,post_fixed_bill,pre_fixed_tou_bill,post_fixed_tou_bill,new_F0_WF0_ROE0_bill,new_F0_WF0_ROE1.5_bill,new_F0_WF1_ROE0_bill,new_F0_WF1_ROE1.5_bill,new_F25_WF0_ROE0_bill,new_F50_WF0_ROE0_bill,new_F50_WF0_ROE1.5_bill,new_F50_WF1_ROE0_bill,new_F50_WF1_ROE1.5_bill,new_F75_WF0_ROE0_bill,new_F75_WF1_ROE0_bill,new_F75_WF1_ROE1.5_bill
108184,high,6212.341,2849.7912604099997,2801.81730827,3342.8000635199996,3237.56364554,3294.1907847999983,3135.415097899992,2972.0615960000023,2813.494322400014,3155.078885800004,3015.834342100002,2857.3742482999737,2693.8233874000143,2535.1450977000013,2876.8152123,2554.718706399998,2396.0331987000045
231120,medium,6183.089,2791.4792514099995,2750.52839023,3301.9057668999994,3198.719577600001,3257.652187599998,3100.642697300009,2939.0978511999924,2782.321878299993,3123.7300669000015,2989.684434899981,2832.9747023999985,2671.2741338000005,2514.3413354999907,2855.849078600008,2537.339223000007,2380.4192147999975
292830,low,7640.697,3572.1816710199996,3215.39776209,4081.3612553499997,3662.47799917,4034.0418090000326,3839.6159022000443,3639.542184300005,3445.4686661000187,3592.1838167999927,3150.1906624999883,2956.0954242000057,2755.922879599981,2561.562140299981,2708.408829899988,2314.01070809999,2119.7053480999716
463851,medium,2961.7110000000002,1259.20104876,1402.74702267,1581.3832930299998,1685.7000003900002,1561.3185424000028,1486.0697912999804,1408.6403310000194,1333.5145443999545,1668.5738973999853,1775.7790218999976,1700.6613808999996,1623.1786347999814,1547.9562399000033,1883.0701162999972,1730.4152058000145,1655.211594899969
263700,medium,2840.355,1207.6053318,1357.3635193500002,1515.5478626099998,1627.6945435700002,1495.9435477999998,1423.8483094000135,1349.6645766000354,1277.681263199994,1612.4952317000323,1728.9967689999976,1657.026392299978,1582.7885637000059,1510.7111505000007,1845.582008900005,1699.3169137000152,1627.2628343999913
363151,medium,5430.8550000000005,2432.13463443,2434.4514034500003,2904.7093325,2849.9038535,2858.172738600004,2720.414136800019,2578.683354099992,2441.1126168999845,2781.044667400001,2703.814659299999,2566.328365200017,2424.4354338000016,2286.7631282999923,2626.7792533000056,2347.315953299997,2209.6350571000094
478081,medium,11176.927000000001,5464.938404379999,5102.07175439,5978.75805152,5553.82025046,5896.61246539995,5612.418589600046,5320.0060750999655,5036.212418000004,5387.498180000032,4878.143223800024,4594.496147699997,4301.787424200018,4017.729724999985,4369.1854392999885,3792.659687400005,3508.6154395999924
328040,medium,13839.186,6933.33551089,6393.65499252,7505.863989469999,6908.848240949999,7413.143780399987,7055.801059600017,6688.203439400027,6331.356390499994,6688.423913300042,5963.398478400008,5606.7849945,5238.705413399978,4881.626689199998,5238.853884499999,4514.001147000028,4156.906822100016
376955,high,15406.779,7772.05907795,7131.38643933,8273.966814349998,7576.169449989999,8163.904920400012,7770.431843900026,7365.586044000012,6972.592142100009,7332.4520938000205,6500.631995299996,6107.952105599973,5702.601906000005,5309.363399599977,5669.414696100002,4871.193261999992,4477.910572999981
130218,high,7578.8099999999995,3581.3309831899996,3445.271082,4025.6658379899995,3832.5553888500003,3968.6089861999753,3777.3604377000506,3580.549741200104,3389.6002251999776,3733.598326099976,3498.4641430000033,3307.530725200007,3110.607360099966,2919.3849091999464,3263.548520199997,2875.5262272000145,2684.374249100036
