building_id,income,annual_kwh,scaling_factor,pre_fixed_tou_bill,post_fixed_tou_bill,new_F0_WF0_ROE0_bill,new_F0_WF0_ROE0.5_bill,new_F0_WF1_ROE0_bill,new_F0_WF1_ROE0.5_bill,new_F25_WF0_ROE0_bill,new_F50_WF0_ROE0_bill,new_F50_WF1_ROE1.5_bill
370290,high,2878.361,0.7130643653791515,1535.29201691,1645.0247859299998,929.0611602000091,914.1408635000048,838.2128930999901,823.2796866000043,998.8044908000304,1068.4783020999976,932.9182354999917
486249,low,3071.6,0.7130643653791515,1638.70382562,1514.1538845799998,990.7473903999964,974.8378580000065,893.8649426000055,877.9420061000098,930.6461383000017,870.471459000008,725.908860100001
147478,medium,10607.83,0.7130643653791515,5786.4781745400005,5397.695224200002,3515.3461528999887,3458.823219300006,3171.5045694000064,3115.08801589997,3217.5478732000233,2919.3281448999855,2406.3847326999876
375683,medium,3279.927,0.7130643653791515,1743.01362222,1826.85942232,1051.1459235000032,1034.273959200022,948.3392281000075,931.4612009000035,1103.5464711999912,1155.8672293999962,1002.4780429999965
229410,high,6066.490000000001,0.7130643653791515,3298.0818109700003,3201.8395856499997,1995.3574310999736,1963.315875099997,1800.1997966000024,1768.152366899987,1913.5522257999896,1831.5880276999965,1540.429449500014
62323,low,4914.123,0.7130643653791515,2625.7504901600005,2382.52854906,1588.659639899993,1563.145377800002,1433.3003395000023,1407.7769725999963,1443.585301299994,1298.3672906000004,1066.5656019000007
206319,medium,5425.72,0.7130643653791515,2892.3835601399996,2837.98566712,1751.0400206000193,1722.9236099999812,1579.812720399979,1551.668028399994,1703.9536964000085,1656.7324914000028,1401.239859600015
475910,high,10400.252999999999,0.8407500276235722,5628.28602925,5252.91786065,3411.8274232999916,3357.015142500011,3078.142334499988,3023.3440381999867,3128.7096987000186,2845.2741187999877,2347.442821600007
494030,medium,3876.142,0.8407500276235722,2074.72556686,2120.1216047400003,1257.4952506000027,1237.2947284000174,1134.5247791999768,1114.3189329999966,1280.5593337000132,1303.5220969000138,1120.0360465000017
46354,low,4448.978000000001,0.8407500276235722,2385.75395402,2172.30193426,1431.1712599999817,1408.205832400021,1291.1939487999823,1268.2168841000039,1308.4787225000246,1185.6925464000205,976.8397687000063
237671,medium,4736.522999999999,0.7130643653791515,2541.9997564400005,2531.8633686800003,1538.918548599993,1514.1989212999945,1388.4215877000124,1363.6973249999996,1521.9805143999963,1504.931037699991,1280.3718372999997
180946,high,8683.848,0.7130643653791515,4625.34649267,4361.13092859,2796.4566667000277,2751.5547121999666,2523.003971200042,2478.05556669999,2600.7797249999794,2404.8940952999865,1996.86206179998
178561,medium,3826.339,0.8407500276235722,2041.9684819499998,2090.60034863,1239.197684199994,1219.2944099000033,1118.0184776999974,1098.1207545999976,1264.8838587999999,1290.414956700002,1109.6146842999967
329307,high,6996.089,0.8407500276235722,3740.6821669699993,3585.11434879,2262.1157810000045,2225.7847434999853,2040.8984526999952,2004.5538926000143,2142.394709000001,2022.4898122999834,1692.414095300001
530483,low,6877.47,0.8407500276235722,3673.0311555099997,3303.24404913,2213.3334248000074,2177.811023900016,1996.8621609999927,1961.3151147000142,1979.4816679999765,1745.4471763000065,1422.4839421000029
239170,low,4509.997,0.7130643653791515,2437.0332447200003,2219.65839276,1473.5065076999967,1449.8436089999789,1329.3871127,1305.7241525999762,1344.8068384000142,1215.960022500002,1000.9598762000121
96800,medium,3939.2200000000003,0.8407500276235722,2105.25286468,2146.6215632,1270.1366171999985,1249.7431228999953,1145.9232513999846,1125.5157366000053,1291.4036994999974,1312.5820015000036,1127.2449636000076
284140,low,3838.401,0.7130643653791515,2032.42808438,1858.5612486399998,1227.9761703999752,1208.2678122999905,1107.901219700007,1088.1592820000437,1134.1570277000149,1040.2489493999858,861.0794171999867
323319,high,10375.795,0.8407500276235722,5532.30779113,5158.96374661,3332.418232699992,3278.9332966999946,3006.529888100007,2952.9776269999893,3060.559360000014,2788.496700299989,2302.2334627000064
78836,low,8096.505,0.7130643653791515,4367.50388473,3918.82514173,2638.685390300003,2596.30164490001,2380.6009191000126,2338.237214199997,2344.3697776000013,2049.8507566999933,1664.7909777000002
169557,medium,9751.54,0.8407500276235722,5263.21804466,4929.825059940001,3188.4649295000154,3137.250301399959,2876.6261758000023,2825.4168327000198,2937.104340899993,2685.4226856000028,2220.196091699999
202406,low,8294.923999999999,0.8407500276235722,4418.44447236,3957.45972626,2673.5461939000143,2630.615933799967,2412.1136609999853,2369.138580100003,2374.2624658999903,2074.7724168000123,1684.6799991000032
247811,low,7390.289000000001,0.7130643653791515,4039.2434465099996,3635.7885590700002,2450.725251700004,2411.3349342000147,2211.0159596999983,2171.6706490999845,2183.1251418999973,1915.306996699977,1557.6879158999998
412740,high,5478.578,0.8407500276235722,2918.31129939,2860.5527462900004,1765.341389500016,1736.9954723000226,1592.7135119999828,1564.3395998000378,1716.2224993000164,1666.9701291000006,1409.3884127999804
264488,high,5530.897999999999,0.7130643653791515,2965.29637087,2904.0912676700004,1791.4698084000029,1762.7035547999967,1616.2696356000033,1587.4866721000035,1738.6449235000048,1685.6719502000165,1424.2742641000095
273471,medium,5482.862,0.8407500276235722,2913.6437325999996,2855.65364082,1761.2030518000083,1732.9321375999968,1588.9874250000184,1560.674649299987,1712.673959400011,1664.0065176999947,1407.039231599997
245814,medium,2393.105,0.8407500276235722,1276.24892617,1417.23712361,770.9517645999937,758.5731901999758,695.5632386999984,683.1707368000157,863.1666571999917,955.3299558999821,842.8378389999873
373827,high,14641.374999999998,0.8407500276235722,7849.886989850001,7201.63948069,4748.035547899995,4671.782803099999,4283.701744100035,4207.44427449997,4275.0247267999885,3801.5357242000073,3108.7524557000174
487529,high,1296.0510000000002,0.8407500276235722,694.1966418200001,905.7973489199999,419.48411689998886,412.7519211999799,378.4595931000002,371.7202242999964,561.6583975000021,703.8009849000097,642.5922976999994
252223,medium,9199.818,0.7130643653791515,4936.360600839999,4638.7880571,2992.2422323999904,2944.168398600006,2699.623568600021,2651.5561599999983,2768.76165039999,2544.984507399995,2108.3900465999936
177393,low,3235.778,0.7130643653791515,1712.2898860999996,1577.2153479399997,1036.3444240000078,1019.7112046999985,935.0067032000024,918.3491846999798,969.7671861000105,903.1030625999829,751.8964581999955
209464,medium,7745.198,0.8407500276235722,4195.40994382,3991.2101254199997,2538.491768299997,2497.7066674000052,2290.217095799988,2249.4480551999845,2379.4897437999916,2220.2810020000093,1849.8610951999872
519459,high,3616.185,0.8407500276235722,1930.87783576,1993.07222052,1166.6068656000098,1147.872295699967,1052.526882900031,1033.7756497000048,1202.5835753000038,1238.4844720999681,1068.2576951999818
116367,medium,9988.536,0.7130643653791515,5256.34619488,4907.846830099999,3191.94441529996,3140.7597057000035,2879.894248599993,2828.5107082999784,2940.0255861000005,2687.916959399993,2222.254909200003
192718,high,12698.526000000002,0.7130643653791515,6854.127961800001,6331.001152919999,4138.7942367000005,4072.3072469999706,3733.9969399999986,3667.5342358000053,3752.359797499994,3365.5528760999982,2761.625868500026
308834,high,13133.503999999999,0.8407500276235722,7006.884745560001,6456.1061015800005,4241.937498700008,4173.810219699986,3827.1280531999996,3758.9647224999867,3840.8334817999553,3439.3392341000067,2820.4129649000274
281529,high,6512.784,0.7130643653791515,3517.5082469499994,3392.80344897,2126.237676600001,2092.0898864999863,1918.278282799997,1884.1321950999884,2025.8372785999782,1925.25488790002,1614.9978784999976
98867,medium,5291.648999999999,0.7130643653791515,2822.9596006600004,2777.2167449400004,1706.7954726999976,1679.3907700000104,1539.8910289000055,1512.4587822999954,1665.9980444999967,1625.0721569000048,1376.0325222999977
27063,high,7856.754999999999,0.7130643653791515,4206.132010959999,3995.0469577200006,2540.8904099000047,2500.0814640000035,2292.3898417000028,2251.5794238999924,2381.546565199992,2222.0150421999942,1851.2380562000058
72639,high,7291.838000000001,0.7130643653791515,3880.8996706800003,3706.30720218,2349.382239299945,2311.657538799992,2119.6479954000315,2081.893001899988,2217.2574246000027,2084.936867499996,1742.1406208000058
325015,low,4324.683,0.7130643653791515,2328.86100338,2123.38053986,1412.3788742000017,1389.6918639999888,1274.2564311000028,1251.566869099998,1292.355897900007,1172.207422300005,966.1246613000005
54361,low,8571.580000000002,0.7130643653791515,4569.34744043,4090.29631981,2759.694985399984,2715.3941234999943,2489.7792417999985,2445.4694170000007,2448.1891852999834,2136.4686394999944,1733.759099199996
1382,high,12229.270999999999,0.7130643653791515,6537.216538770001,6044.48728047,3971.281061599997,3907.4801753000193,3582.9363048999876,3519.1450462000093,3608.666951999998,3245.6152361000163,2666.190502500002
522649,low,4993.952,0.7130643653791515,2682.63965457,2434.069815550001,1619.542629499984,1593.5285741000012,1461.1512457999972,1435.1390208999924,1470.064971900011,1320.4885326000128,1084.1468181999908
18666,high,10009.671,0.7130643653791515,5367.6654376199995,5017.88713422,3245.1578083000018,3193.0329986000033,2927.7938340999826,2875.6619335000055,2985.717755399989,2726.0128842000126,2252.4897518000057
124867,medium,4299.041,0.7130643653791515,2292.08768163,2310.29957971,1388.286252900022,1365.9902392999966,1252.5309502999958,1230.2180808000096,1392.7596883999952,1397.1239997000016,1194.5589361000052
267990,medium,8614.035,0.7130643653791515,4628.56499155,4368.612305109999,2805.2043777000026,2760.141114499987,2530.8651337000015,2485.7999405000096,2608.299682000001,2411.1442528000157,2001.8304307000144
41162,high,12125.732,0.8407500276235722,6599.21373856,6112.57661476,4016.634173599999,3952.059075399997,3623.7912661999762,3559.319954799963,3647.6064860999895,3278.0420219000143,2691.9954891000034
344672,low,11509.827,0.7130643653791515,6139.72377684,5471.472425,3709.4819662000305,3649.9321421999907,3346.706575499982,3287.115479400008,3262.9783200999973,2816.1732034000115,2274.9051411000078
375630,high,3466.089,0.8407500276235722,1842.4089911200003,1914.2906164600001,1114.1127572999887,1096.226057399989,1005.1688133000114,987.2599968000084,1157.5530098999996,1200.9164226000119,1038.354285299993
159513,low,12783.403,0.7130643653791515,6830.0314397,6079.6643164199995,4122.464227899977,4056.296097700002,3719.292113500001,3653.078795399997,3617.282063900015,3111.7264484000016,2510.2105672000084
262874,medium,10011.146999999999,0.7130643653791515,5350.69170324,5000.9152325,3238.5097375999917,3186.496174999991,2921.815300700008,2869.780150499998,2980.01698190001,2721.242306899993,2248.709800699991
293091,medium,5090.686000000001,0.7130643653791515,2728.05781772,2695.25627384,1650.0799376000043,1623.5723450999983,1488.708000800005,1462.202946899988,1617.351747300015,1584.4808766000046,1343.706712600005
123662,high,18026.625,0.7130643653791515,9703.64205456,8837.078087140002,5888.379668400027,5793.753022199974,5312.508651099988,5217.953768799957,5253.29620939999,4617.600141699983,3758.407268000004
339924,low,2185.9990000000003,0.7130643653791515,1163.49164566,1096.00356062,703.8067878999952,692.5060399000209,634.9838861000286,623.6725316000014,684.4904819999987,665.1204173000133,562.427158700006
281684,high,3189.963,0.8407500276235722,1706.56598614,1796.1750943799998,1030.3819418000041,1013.8401465000036,929.6180272999975,913.0597561000012,1085.726242599994,1140.995306799999,990.6488421000008
147620,high,7807.508000000001,0.7130643653791515,4213.362280230001,4005.3267564699995,2557.8645059000023,2516.747231599998,2307.703528199996,2266.6359072000105,2396.1245569000052,2234.1226929000045,1860.8842709000069
283681,high,2942.7170000000006,0.8407500276235722,1566.42254371,1672.01137335,946.8946360000158,931.692161400002,854.301659499989,839.0810134000075,1014.1025989999973,1081.2449175000143,943.0818227999998
112620,high,2943.9210000000007,0.7130643653791515,1560.8725665899997,1666.46258031,939.493212900028,924.41847420003,847.6283237000017,832.51957709997,1007.7507687000209,1075.9522227000043,938.8735771000049
543984,high,8947.979000000001,0.8407500276235722,4751.77236049,4470.51589039,2875.621055100001,2829.4667682999975,2594.442634499999,2548.192007399997,2668.6758835999913,2461.552318300004,2041.9866387000025
