building_id,puma,income,is_care,annual_kwh,scaling_factor,tou_dr_bill,tou_dr_f_bill,F0_WF0_ROE0_bill,F0_WF0_ROE1.0_bill,F0_WF1_ROE0_bill,F50_WF0_ROE0_bill,F50_WF1_ROE1.0_bill,F100_WF0_ROE0_bill
320175,G06007316,high,False,3660.011,0.7130643653791515,1519.9915402799945,1627.7944406900015,1519.9987327300003,1487.86342103,1331.93655263,2075.8805050299998,1855.7598468299998,2631.86895423
320213,G06007312,medium,False,7189.041,0.7130643653791515,3331.0279904081344,3220.0376107952357,3331.0564360881312,3267.4346035881317,2958.7081313881317,3350.977049788132,2915.149598088132,3371.1854270881313
320222,G06007302,medium,False,12437.053000000002,0.8407500276235722,5879.479701256264,5455.986414511053,5879.518537726265,5769.755921026265,5237.170890226264,5114.192013826265,4362.346213226265,4349.313407726264
320270,G06007326,medium,False,4851.825,0.7130643653791515,2085.029570928812,2123.8997804728406,2085.039203638812,2042.3715014388115,1835.287705238812,2461.485896038812,2169.151228638812,2838.1046646388113
320487,G06007329,high,False,7220.978999999999,0.7130643653791515,3306.9623958881316,3194.0106507552387,3306.968561088132,3243.766881088132,2936.979213388132,3333.7502783881314,2900.698211888132,3360.7702191881317
320525,G06007306,high,False,6015.415999999999,0.8407500276235722,2680.9890665406747,2650.4136468064617,2681.0030404606787,2627.568054360677,2368.1916254606776,2874.094755660678,2507.952612660678,3067.3889094606775
320554,G06007310,medium,False,3020.974,0.7130643653791515,1344.8618680700024,1481.362573999996,1344.89112337,1317.3444525700002,1183.77541147,1979.21432877,1790.63566577,2613.64575157
320610,G06007302,high,False,9284.166000000001,0.8407500276235722,4310.527156887797,4088.2059293114417,4310.577505977792,4227.251989777792,3822.9865109777925,3995.3800904777922,3424.662557177792,3680.554499277792
320924,G06007330,high,False,666.547,0.7130643653791515,281.8820178999983,542.8617049300005,281.88307061000006,275.95026991,247.13823660999998,1283.6610598099999,1242.99211681,2285.46599011
320972,G06007313,high,False,11151.182,0.8407500276235722,5423.557324559992,5062.022794279434,5423.61219365,5324.308558949999,4842.471158349999,4836.315791449999,4156.09223655,4249.476610949999
321009,G06007310,medium,False,8224.068,0.7130643653791515,3834.4802918181317,3657.0162119252377,3834.494070688132,3762.4659731881316,3412.932049288132,3711.250572288132,3217.819736388132,3588.2727373881316
321010,G06007302,low,True,3925.0110000000004,1.0497359105206039,1002.8484199250998,1046.9256750959994,1002.8477436579,981.5563083878998,878.1545134088998,1081.2980916218999,935.3408101869001,1159.8481958019
321088,G06007330,low,True,3218.116,0.7130643653791515,842.7485628891009,894.4092805129998,842.7536396244002,824.9374548324,738.5017474673998,980.6923180074001,858.6709134744001,1118.6892337794
321270,G06007317,medium,False,2761.9979999999996,0.7130643653791515,1143.0226067100018,1296.820483009999,1143.02602614,1118.84617564,1001.50373934,1834.2495521399999,1668.6004344399998,2525.55754324
321282,G06007326,high,False,6090.128000000001,0.7130643653791515,2753.6670604781298,2713.4153370052404,2753.6961166881324,2699.707158388132,2437.7881841881326,2937.8233655881318,2568.072923688132,3122.1607338881317
321308,G06007310,medium,False,2797.112,0.7130643653791515,1246.5559298600072,1393.0363659300006,1246.5713110499998,1221.3174129499998,1098.7442927499999,1919.4941443499997,1746.46201785,2592.53743865
321325,G06007322,medium,False,5187.332,0.7130643653791515,2235.757244198136,2253.735718985234,2235.7554343281327,2190.482327228132,1970.7004450281318,2567.654708728132,2257.3930676281325,2899.7030008281317
321562,G06007307,high,False,11737.532,0.8407500276235722,5675.393368419998,5275.975640119433,5675.406426249999,5571.928542149999,5069.629117049999,5016.537018749998,4307.522768049999,4358.013379549999
321580,G06007326,high,False,12168.055,0.7130643653791515,5963.075275198125,5531.028888885243,5963.1130342881315,5855.511469088133,5333.380132988132,5234.5110146881325,4497.431149488132,4506.325714788131
321627,G06007312,high,False,12586.371,0.7130643653791515,6234.566962418126,5775.5893032252425,6234.6396958881305,6122.451679588132,5578.313920788132,5428.8006122881325,4660.626823088132,4623.429641588132
321703,G06007317,high,False,22493.447,0.7130643653791515,11512.98901268813,10414.88480033524,11513.101836888132,11312.738179988131,10340.629213288132,9206.105395088132,7833.758800588133,6900.000908188131
321752,G06007313,high,False,7303.809,0.8407500276235722,3355.301564039999,3241.8824319794326,3355.3172102499984,3290.595926449999,2976.4396507499987,3356.246488249999,2912.770366849999,3357.428297749999
321880,G06007324,high,False,7904.456999999999,0.7130643653791515,3697.884704218131,3540.6542075452403,3697.8991322881316,3628.1685557881315,3289.691414788132,3613.509557088132,3135.699369688132,3529.3916555881315
